№ позиции,Международное непатентованное наименование,Торговое название,Производитель,Преквалификация ВОЗ
11,Вакцина против гепатита В (для взрослых),Эувакс В суспензия для внутримышечного введения 1 мл. (1 доза) во флаконах в упаковке №10,"LG Chem, Ltd., Республика Корея",Да
12,"Вакцина для профилактики инфекций, вызываемых Haemophilus influenza типа b","Акт-ХИБ (конъюгированная вакцина для профилактики инфекции, вызываемой Haemophilus influenzae типа b) лиофилизат для приготовления раствора для внутримышечного и подкожного введения 1 доза во флаконе в комплекте с растворителем (натрия хлорида раствор 0,4% в шприце 0,5 мл. с закрепленной иглой или с 2 отдельными иглами) в упаковке №1","Sanofi Pasteur S.A., Франция",Да
13,Анатоксин дифтерийно-столбнячный с уменьшенным содержанием антигена,Анатоксин дифтерийно-столбнячный очищенный адсорбированный с уменьшенным содержанием антигенов жидкий (АДС-М-анатоксин) суспензия для внутримышечного и подкожного введения в ампулах 1 мл. (2 дозы) в упаковке №10,"АО НПО Микроген, г. Пермь, РФ",Нет
14,Вакцина клещевого энцефалита,"Энцевир. Вакцина клещевого энцефалита культуральная очищенная концентрированная инактивированная сорбированная суспензия для внутримышечного введения в ампулах 0,5 мл. (1 доза) в упаковке №10","АО НПО Микроген, г. Томск, РФ",Нет
15,Вакцина коклюшно-дифтерийно-столбнячная цельноклеточная,"Вакцина коклюшно-дифтерийно-столбнячная адсорбированная (АКДС-вакцина) суспензия для внутримышечного введения 0,5мл/доза в ампулах 1мл (2 дозы) в упаковке №10","АО НПО Микроген, г. Уфа, РФ",Нет
16,Вакцина туберкулезная для щадящей первичной иммунизации,"Вакцина туберкулезная для щадящей первичной иммунизации (БЦЖ-М) лиофилизат для приготовления суспензии для внутрикожного введения 0,025 мг./доза в ампулах 0,5 мг. (20 доз) в комплекте с растворителем (натрия хлорид раствор для инъекций 0,9% в ампулах 2 мл.) в упаковке №5","АО НПО Микроген, г. Ставрополь, РФ",Нет
17,"Вакцина для профилактики дифтерии, столбняка, коклюша, полиомиелита","Тетраксим (вакцина для профилактики дифтерии и столбняка адсорбированная, коклюша ацеллюлярная, полиомиелита инактивированная) суспензия для внутримышечного введения в шприце 0,5мл (1доза) в ячейковой упаковке №1х1","Sanofi Pasteur S.A., Франция",Нет
18,Вакцина туляремийная,Вакцина туляремийная живая лиофилизат для приготовления суспензии для внутрикожного введения и накожного скарификационного нанесения в ампулах в комплекте с растворителем (вода для инъекций в ампулах 5 мл.) в упаковке №5 (30/40 доз),"АО НПО Микроген, г. Омск/г. Томск, РФ",Нет
19,Вакцина для профилактики сибирской язвы,Вакцина сибиреязвенная живая лиофилизат для приготовления суспензии для подкожного введения и накожного скарификационного нанесения 100 подкожных или 10 накожных доз в ампулах №5 в комплекте с растворителем - глицерола раствор 30% в ампулах 1 мл. №5,"НИЦ 48 Центрального научно-исследова- тельского института Минобороны РФ, РФ",Нет
20,Анатоксин дифтерийный с уменьшенным содержанием антигена,Анатоксин дифтерийный очищенный адсорбированный с уменьшенным содержанием антигена жидкий (АД-М анатоксин) суспензия для внутримышечного и подкожного введения в ампулах 1 мл. (2 дозы) в упаковке №10,"АО НПО Микроген, г. Пермь, РФ",Нет
21,Вакцина желтой лихорадки,"Вакцина желтой лихорадки живая сухая лиофилизат для приготовления раствора для подкожного введения 2 дозы в ампулах в упаковке №10 в комплекте с растворителем (вода для инъекций в ампулах 1,25 мл.) в упаковке №10","ФГБНУ ФНЦИРИП им. М.П. Чумакова РАН, РФ",Да
22,Анатоксин столбнячный,Анатоксин столбнячный очищенный адсорбированный жидкий (АС-анатоксин) суспензия для подкожного введения в ампулах 1 мл. (2 дозы) в упаковке №10,"АО НПО Микроген, г. Пермь, РФ",Нет
23,Анатоксин дифтерийно-столбнячный,Анатоксин дифтерийно-столбнячный очищенный адсорбированный жидкий (АДС-анатоксин) суспензия для внутримышечного введения в ампулах 1 мл. (2 дозы) в контурной ячейковой упаковке №5х2,"АО НПО Микроген, г. Пермь, РФ",Нет
